Внешний код,Название,Активность,Символьный код,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Тип,Серия,Партномер,Номинальное входное напряжение_В,Выходное напряжение_В,Тип корпуса,Размеры корпуса_мм_x,Размеры корпуса_мм_y,Размеры корпуса_мм_z,Температурный диапазон_С°,Мощность_Вт,Максимальный проходной ток_А,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
proizvodstvo-preobrazovatelej-napryazheniya_18,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300H-48VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-600-vt-et-f300h-48vp600r23,1900,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-48VP600R23,"""300"" (180..375)",48,full brick,117,"55,9","12,7","""H""  (-40..100)",600,"12,5",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_390,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300H-48VP600R23,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300H-48VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_19,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300M-3V3P264R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-264-vt-et-f300m-3v3p264r23,2000,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-3V3P264R23,"""300"" (180..375)","3,3",full brick,117,"55,9","12,7","""M""  (-55..100)",264,80,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_391,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300M-3V3P264R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300M-3V3P264R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_20,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300M-05VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-400-vt-et-f300m-05vp400r23,2100,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-05VP400R23,"""300"" (180..375)",5,full brick,117,"55,9","12,7","""M""  (-55..100)",400,80,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_392,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300M-05VP400R23,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300M-05VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_21,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300M-08VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-8-v-400-vt-et-f300m-08vp400r23,2200,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-08VP400R23,"""300"" (180..375)",8,full brick,117,"55,9","12,7","""M""  (-55..100)",400,50,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_393,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300M-08VP400R23,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300M-08VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_22,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300M-12VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-600-vt-et-f300m-12vp600r23,2300,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-12VP600R23,"""300"" (180..375)",12,full brick,117,"55,9","12,7","""M""  (-55..100)",600,50,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_394,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300M-12VP600R23,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300M-12VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_23,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300M-15VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-600-vt-et-f300m-15vp600r23,2400,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-15VP600R23,"""300"" (180..375)",15,full brick,117,"55,9","12,7","""M""  (-55..100)",600,40,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_395,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300M-15VP600R23,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300M-15VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_24,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300M-24VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-600-vt-et-f300m-24vp600r23,2500,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-24VP600R23,"""300"" (180..375)",24,full brick,117,"55,9","12,7","""M""  (-55..100)",600,25,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_396,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300M-24VP600R23,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300M-24VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_25,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300M-28VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-600-vt-et-f300m-28vp600r23,2600,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-28VP600R23,"""300"" (180..375)",28,full brick,117,"55,9","12,7","""M""  (-55..100)",600,"21,5",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_397,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300M-28VP600R23,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300M-28VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_26,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300M-36VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-600-vt-et-f300m-36vp600r23,2700,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-36VP600R23,"""300"" (180..375)",36,full brick,117,"55,9","12,7","""M""  (-55..100)",600,"16,7",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_398,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300M-36VP600R23,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300M-36VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_27,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300M-48VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-600-vt-et-f300m-48vp600r23,2800,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300M-48VP600R23,"""300"" (180..375)",48,full brick,117,"55,9","12,7","""M""  (-55..100)",600,"12,5",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_399,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300M-48VP600R23,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300M-48VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_28,"Модульный преобразователь DC/DC Иртыш 3,3 В / 150 Вт ET-H300C-3V3P150R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-150-vt-et-h300c-3v3p150r23,2900,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H300,ET-H300C-3V3P150R23,"""300"" (180..375)","3,3",1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",150,"45,4",,ET-H300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_317####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 150 Вт ET-H300C-3V3P150R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 150 Вт ET-H300C-3V3P150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
